Var1,Var2
380,0.967029839013677
385,0.547232249175722
390,0.972684359964884
395,0.714815993674365
400,0.697728824597271
405,0.216089495580376
410,0.976274454776242
415,0.00623025520458986
420,0.252982362383444
425,0.434791532404446
430,0.779382921793752
435,0.197685074600253
440,0.862993235599222
445,0.983400677175313
450,0.163842241404699
455,0.597333943932859
460,0.00898609766755498
465,0.386571282643629
470,0.0441600579314996
475,0.956652967714236
480,0.436146646879798
485,0.948977306781563
490,0.786305985935061
495,0.866289298581698
500,0.173165421495948
505,0.074948587013107
510,0.600742721377769
515,0.167972183718404
520,0.73338016751057
525,0.408443860152015
530,0.52790882341792
535,0.937571583950942
540,0.521696122444958
545,0.108193382887231
550,0.158223407184799
555,0.545202651703213
560,0.524404080068473
565,0.637610244125994
570,0.401495443590273
575,0.649805109019342
580,0.396900002901733
585,0.623916113548223
590,0.767404967090124
595,0.178973910041131
600,0.375575768587542
605,0.502533059326934
610,0.686667079916346
615,0.253679648661383
620,0.554740862942559
625,0.624930844064098
630,0.895501166056146
635,0.362853588433126
640,0.637557073018737
645,0.191446402118963
650,0.497794114617306
655,0.182445404571207
660,0.918383039139763
665,0.431822071341228
670,0.830188102098346
675,0.416776304678363
680,0.904667588743367
685,0.404825217310906
690,0.331174503091123
695,0.572138770272749
700,0.845443649094113
705,0.861014311753072
710,0.595688117068334
715,0.0846616110204103
720,0.597266607319175
725,0.245453708583102
730,0.732593448589968
735,0.894651292316739
740,0.514733970913145
745,0.603563510360206
750,0.0650678123828073
755,0.540074729642806
760,0.129186783670438
765,0.614562846350332
770,0.363650347044838
775,0.767758034330746
780,0.0485341364195525
